Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
GLS,Glenmark Life Sciences Limited,"9,51,607.28"
DOMS,DOMS Industries Limited,"9,50,210.40"
INFIBEAM,Infibeam Avenues Limited,"9,47,425.84"
FORCEMOT,FORCE MOTORS LTD,"9,44,104.29"
ZYDUSWELL,Zydus Wellness Limited,"9,38,955.92"
STARCEMENT,Star Cement Limited,"9,38,482.18"
GODREJAGRO,Godrej Agrovet Limited,"9,36,066.90"
TTKPRESTIG,TTK Prestige Limited,"9,30,515.92"
ALKYLAMINE,Alkyl Amines Chemicals Limited,"9,27,308.62"
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,"9,18,526.21"
KPIGREEN,KPI Green Energy Limited,"9,18,104.12"
CRAFTSMAN,Craftsman Automation Limited,"9,11,665.49"
MAHLIFE,Mahindra Lifespace Developers Limited,"9,09,585.65"
REDTAPE,Redtape Limited,"9,09,299.40"
JUBLPHARMA,Jubilant Pharmova Limited,"9,07,743.21"
NETWEB,Netweb Technologies India Limited,"9,06,165.88"
NETWORK18,Network18 Media & Investments Limited,"9,02,469.62"
PRSMJOHNSN,Prism Johnson Limited,"8,98,994.85"
METROPOLIS,Metropolis Healthcare Limited,"8,82,946.18"
CERA,Cera Sanitaryware Limited,"8,82,123.40"
SBFC,SBFC Finance Limited,"8,78,290.38"
GRSE,Garden Reach Shipbuilders & Engineers Limited,"8,75,979.14"
KIRLOSBROS,Kirloskar Brothers Limited,"8,69,567.44"
UJJIVANSFB,Ujjivan Small Finance Bank Limited,"8,67,732.13"
SHRIPISTON,Shriram Pistons & Rings Limited,"8,63,662.87"
RENUKA,Shree Renuka Sugars Limited,"8,45,010.44"
RATEGAIN,Rategain Travel Technologies Limited,"8,44,618.76"
WOCKPHARMA,Wockhardt Limited,"8,44,086.08"
SAFARI,Safari Industries (India) Limited,"8,41,600.20"
HAPPYFORGE,Happy Forgings Limited,"8,38,235.04"
TECHNOE,Techno Electric & Engineering Company Limited,"8,30,549.78"
SHOPERSTOP,Shoppers Stop Limited,"8,30,118.70"
IBULHSGFIN,Indiabulls Housing Finance Limited,"8,28,798.45"
SYRMA,Syrma SGS Technology Limited,"8,26,480.97"
TEGA,Tega Industries Limited,"8,25,771.99"
ACI,Archean Chemical Industries Limited,"8,25,525.72"
MEDPLUS,Medplus Health Services Limited,"8,22,234.92"
MAHSCOOTER,Maharashtra Scooters Limited,"8,19,468.33"
NEULANDLAB,Neuland Laboratories Limited,"8,11,124.83"
AZAD,Azad Engineering Limited,"8,08,577.07"
ESABINDIA,Esab India Limited,"8,08,449.11"
GALAXYSURF,Galaxy Surfactants Limited,"8,05,266.05"
ZENTEC,Zen Technologies Limited,"8,03,883.35"
JSWHL,JSW Holdings Limited,"8,00,532.70"
TV18BRDCST,TV18 Broadcast Limited,"7,95,463.11"
HOMEFIRST,Home First Finance Company India Limited,"7,94,698.15"
MHRIL,Mahindra Holidays & Resorts India Limited,"7,92,126.83"
POWERMECH,Power Mech Projects Limited,"7,92,067.16"
KTKBANK,The Karnataka Bank Limited,"7,89,691.86"
JLHL,Jupiter Life Line Hospitals Limited,"7,84,497.45"
MASTEK,Mastek Limited,"7,84,123.90"
PGHL,Procter & Gamble Health Limited,"7,81,814.29"
THOMASCOOK,Thomas Cook  (India)  Limited,"7,80,831.73"
CCL,CCL Products (India) Limited,"7,79,942.69"
GSFC,Gujarat State Fertilizers & Chemicals Limited,"7,79,621.29"
RAJESHEXPO,Rajesh Exports Limited,"7,78,157.62"
QUESS,Quess Corp Limited,"7,72,842.83"
VARROC,Varroc Engineering Limited,"7,69,814.28"
TMB,Tamilnad Mercantile Bank Limited,"7,68,954.66"
MANINFRA,Man Infraconstruction Limited,"7,58,650.20"
EASEMYTRIP,Easy Trip Planners Limited,"7,58,433.38"
VIPIND,VIP Industries Limited,"7,45,907.75"
IONEXCHANG,ION Exchange (India) Limited,"7,43,086.28"
RESPONIND,Responsive Industries Limited,"7,40,371.93"
MIDHANI,Mishra Dhatu Nigam Limited,"7,38,587.95"
EMIL,Electronics Mart India Limited,"7,36,986.25"
GAEL,Gujarat Ambuja Exports Limited,"7,33,185.05"
BALRAMCHIN,Balrampur Chini Mills Limited,"7,30,231.39"
STAR,Strides Pharma Science Limited,"7,21,137.06"
JUBLINGREA,Jubilant Ingrevia Limited,"7,21,065.72"
SARDAEN,Sarda Energy & Minerals Limited,"7,14,805.41"
JMFINANCIL,JM Financial Limited,"7,13,812.99"
SOUTHBANK,The South Indian Bank Limited,"7,12,839.91"
HEG,HEG Limited,"7,11,720.43"
CHEMPLASTS,Chemplast Sanmar Limited,"7,11,493.08"
ARVIND,Arvind Limited,"7,07,579.62"
RCF,Rashtriya Chemicals and Fertilizers Limited,"7,07,539.99"
NAVA,NAVA LIMITED,"7,04,681.25"
ALLCARGO,Allcargo Logistics Limited,"7,03,671.98"
ICIL,Indo Count Industries Limited,"7,01,310.42"
IWEL,Inox Wind Energy Limited,"6,99,512.21"
KNRCON,KNR Constructions Limited,"6,92,680.82"
FDC,FDC Limited,"6,91,780.05"
RELIGARE,Religare Enterprises Limited,"6,89,941.53"
GRAVITA,Gravita India Limited,"6,89,516.17"
RUSTOMJEE,Keystone Realtors Limited,"6,88,966.65"
MARKSANS,Marksans Pharma Limited,"6,88,545.14"
NIITMTS,NIIT Learning Systems Limited,"6,85,828.36"
AHLUCONT,Ahluwalia Contracts (India) Limited,"6,84,210.94"
JUSTDIAL,Just Dial Limited,"6,82,980.95"
TRIVENI,Triveni Engineering & Industries Limited,"6,80,991.58"
TVSSCS,TVS Supply Chain Solutions Limited,"6,79,605.91"
GARFIBRES,Garware Technical Fibres Limited,"6,77,604.69"
VESUVIUS,Vesuvius India Limited,"6,73,200.68"
SAREGAMA,Saregama India Limited,"6,69,723.76"
DBL,Dilip Buildcon Limited,"6,68,056.20"
INDIASHLTR,India Shelter Finance Corporation Limited,"6,67,784.99"
BLUEJET,Blue Jet Healthcare Limited,"6,64,199.11"
BALAMINES,Balaji Amines Limited,"6,62,681.45"
ISGEC,Isgec Heavy Engineering Limited,"6,60,221.47"
AVANTIFEED,Avanti Feeds Limited,"6,59,769.46"
INDIACEM,The India Cements Limited,"6,58,221.65"
BECTORFOOD,Mrs. Bectors Food Specialities Limited,"6,55,638.38"
CAMPUS,Campus Activewear Limited,"6,54,773.63"
LTFOODS,LT Foods Limited,"6,51,620.15"
VIJAYA,Vijaya Diagnostic Centre Limited,"6,51,532.68"
GOCOLORS,Go Fashion (India) Limited,"6,50,916.28"
BORORENEW,BOROSIL RENEWABLES LIMITED,"6,49,751.87"
LXCHEM,Laxmi Organic Industries Limited,"6,48,636.41"
GREENLAM,Greenlam Industries Limited,"6,44,949.60"
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,"6,36,364.88"
CMSINFO,CMS Info Systems Limited,"6,35,830.89"
KRBL,KRBL Limited,"6,34,826.12"
ETHOSLTD,Ethos Limited,"6,33,419.22"
TEXRAIL,Texmaco Rail & Engineering Limited,"6,31,741.47"
TCI,Transport Corporation of India Limited,"6,30,972.74"
IBREALEST,Indiabulls Real Estate Limited,"6,28,072.55"
JINDWORLD,Jindal Worldwide Limited,"6,26,826.77"
EMUDHRA,eMudhra Limited,"6,26,801.81"
PDSL,PDS Limited,"6,24,429.46"
GANESHHOUC,Ganesh Housing Corporation Limited,"6,17,523.09"
CSBBANK,CSB Bank Limited,"6,15,007.26"
SHAREINDIA,Share India Securities Limited,"6,12,355.17"
IFBIND,IFB Industries Limited,"6,10,192.81"
PRINCEPIPE,Prince Pipes And Fittings Limited,"6,07,256.73"
VAIBHAVGBL,Vaibhav Global Limited,"6,03,365.87"
ARVINDFASN,Arvind Fashions Limited,"6,02,431.94"
EDELWEISS,Edelweiss Financial Services Limited,"5,99,772.27"
SENCO,Senco Gold Limited,"5,99,436.52"
SPANDANA,Spandana Sphoorty Financial Limited,"5,99,290.67"
INDIGOPNTS,Indigo Paints Limited,"5,98,405.32"
GENUSPOWER,Genus Power Infrastructures Limited,"5,93,340.07"
SYMPHONY,Symphony Limited,"5,92,920.55"
HGINFRA,H.G. Infra Engineering Limited,"5,92,340.23"
TIPSINDLTD,TIPS Industries Limited,"5,91,597.09"
SIS,SIS LIMITED,"5,89,730.85"
MSTCLTD,Mstc Limited,"5,85,516.80"
NESCO,Nesco Limited,"5,85,346.12"
SANGHVIMOV,Sanghvi Movers Limited,"5,85,297.05"
SANDUMA,Sandur Manganese & Iron Ores Limited,"5,82,353.57"
UJJIVAN,Ujjivan Financial Services Limited,"5,80,182.11"
ITDCEM,ITD Cementation India Limited,"5,73,770.53"
CYIENTDLM,Cyient DLM Limited,"5,71,321.32"
EPL,EPL Limited,"5,70,955.75"
SUPRAJIT,Suprajit Engineering Limited,"5,70,618.92"
SUNTECK,Sunteck Realty Limited,"5,70,564.60"
HEMIPROP,Hemisphere Properties India Limited,"5,69,857.50"
MOIL,MOIL Limited,"5,66,808.06"
TIMETECHNO,Time Technoplast Limited,"5,66,528.41"
ASTRAMICRO,Astra Microwave Products Limited,"5,66,299.50"
TRIL,Transformers And Rectifiers (India) Limited,"5,64,054.94"
WONDERLA,Wonderla Holidays Limited,"5,62,169.07"
ASKAUTOLTD,ASK Automotive Limited,"5,61,067.84"
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,"5,60,134.39"
GMMPFAUDLR,GMM Pfaudler Limited,"5,55,626.33"
SURYAROSNI,Surya Roshni Limited,"5,53,012.81"
VSTIND,VST Industries Limited,"5,51,276.54"
PTC,PTC India Limited,"5,50,427.47"
JKPAPER,JK Paper Limited,"5,46,237.86"
SANSERA,Sansera Engineering Limited,"5,45,690.99"
CHOICEIN,Choice International Limited,"5,45,102.19"
AURIONPRO,Aurionpro Solutions Limited,"5,45,065.10"
PAISALO,Paisalo Digital Limited,"5,44,214.65"
ITDC,India Tourism Development Corporation Limited,"5,41,676.65"
HNDFDS,Hindustan Foods Limited,"5,41,359.09"
PARADEEP,Paradeep Phosphates Limited,"5,40,987.00"
KESORAMIND,Kesoram Industries Limited,"5,31,660.57"
HCC,Hindustan Construction Company Limited,"5,30,790.82"
ORCHPHARMA,Orchid Pharma Limited,"5,29,938.57"
JAMNAAUTO,Jamna Auto Industries Limited,"5,27,599.98"
ICRA,ICRA Limited,"5,25,422.67"
RSYSTEMS,R Systems International Limited,"5,22,428.01"
PRUDENT,Prudent Corporate Advisory Services Limited,"5,19,550.32"
MTARTECH,Mtar Technologies Limited,"5,17,914.61"
UTKARSHBNK,Utkarsh Small Finance Bank Limited,"5,16,697.54"
RAIN,Rain Industries Limited,"5,06,872.94"
DYNAMATECH,Dynamatic Technologies Limited,"5,06,444.70"
JAICORPLTD,Jai Corp Limited,"5,04,744.16"
RBA,Restaurant Brands Asia Limited,"5,02,573.71"
GATEWAY,Gateway Distriparks Limited,"5,00,892.95"
PURVA,Puravankara Limited,"4,97,421.47"
GUJALKALI,Gujarat Alkalies and Chemicals Limited,"4,94,616.98"
NAZARA,Nazara Technologies Limited,"4,92,286.65"
RALLIS,Rallis India Limited,"4,87,144.57"
VRLLOG,VRL Logistics Limited,"4,86,198.42"
GABRIEL,Gabriel India Limited,"4,79,555.29"
DODLA,Dodla Dairy Limited,"4,77,815.90"
JKIL,J.Kumar Infraprojects Limited,"4,77,487.18"
ROLEXRINGS,Rolex Rings Limited,"4,76,174.46"
WABAG,VA Tech Wabag Limited,"4,74,792.82"
PRICOLLTD,Pricol Limited,"4,74,606.55"
HCG,Healthcare Global Enterprises Limited,"4,70,590.21"
AGI,AGI Greenpac Limited,"4,70,026.47"
DBCORP,D.B.Corp Limited,"4,68,917.05"
FUSION,Fusion Micro Finance Limited,"4,67,993.15"
DHANUKA,Dhanuka Agritech Limited,"4,67,565.24"
MASFIN,MAS Financial Services Limited,"4,66,294.56"
SULA,Sula Vineyards Limited,"4,65,379.55"
TDPOWERSYS,TD Power Systems Limited,"4,63,356.69"
GALLANTT,Gallantt Ispat Limited,"4,63,259.41"
JAYNECOIND,Jayaswal Neco Industries Limited,"4,61,709.67"
GULFOILLUB,Gulf Oil Lubricants India Limited,"4,61,150.73"
SAMHI,Samhi Hotels Limited,"4,60,926.68"
TEAMLEASE,Teamlease Services Limited,"4,59,568.47"
KIRLPNU,Kirloskar Pneumatic Company Limited,"4,58,549.39"
EPIGRAL,Epigral Limited,"4,56,199.96"
TIIL,Technocraft Industries (India) Limited,"4,53,975.51"
GOPAL,Gopal Snacks Limited,"4,45,834.44"
JTEKTINDIA,Jtekt India Limited,"4,45,372.27"
HEIDELBERG,HeidelbergCement India Limited,"4,45,181.47"
SUNDARMHLD,Sundaram Finance Holdings Limited,"4,43,430.36"
RTNPOWER,RattanIndia Power Limited,"4,43,033.73"
STLTECH,Sterlite Technologies Limited,"4,42,220.72"
JPASSOCIAT,Jaiprakash Associates Limited,"4,40,599.92"
PATELENG,Patel Engineering Limited,"4,40,188.20"
ASHOKA,Ashoka Buildcon Limited,"4,39,612.56"
SINDHUTRAD,Sindhu Trade Links Limited,"4,39,449.70"
PGEL,PG Electroplast Limited,"4,32,556.19"
NFL,National Fertilizers Limited,"4,29,746.68"
ENTERO,Entero Healthcare Solutions Limited,"4,29,479.20"
JSFB,Jana Small Finance Bank Limited,"4,28,401.77"
GOKEX,Gokaldas Exports Limited,"4,28,138.90"
BANCOINDIA,Banco Products (I) Limited,"4,26,930.58"
VMART,V-Mart Retail Limited,"4,25,978.61"
SHANTIGEAR,Shanthi Gears Limited,"4,25,044.18"
GHCL,GHCL Limited,"4,24,296.57"
SUDARSCHEM,Sudarshan Chemical Industries Limited,"4,22,286.23"
WELENT,Welspun Enterprises Limited,"4,20,916.40"
FEDFINA,Fedbank Financial Services Limited,"4,19,032.35"
NOCIL,NOCIL Limited,"4,16,780.91"
TARC,TARC Limited,"4,12,397.13"
KKCL,Kewal Kiran Clothing Limited,"4,12,149.24"
ORIENTELEC,Orient Electric Limited,"4,12,009.55"
BOROLTD,Borosil Limited,"4,09,344.53"
KIRLOSIND,Kirloskar Industries Limited,"4,08,479.10"
BALMLAWRIE,Balmer Lawrie & Company Limited,"4,07,673.17"
FCL,Fineotex Chemical Limited,"4,07,559.78"
GRWRHITECH,Garware Hi-Tech Films Limited,"4,06,218.41"
SHARDAMOTR,Sharda Motor Industries Limited,"4,06,193.53"
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,"4,06,051.19"
MAXESTATES,Max Estates Limited,"4,05,944.21"
TI,Tilaknagar Industries Limited,"4,05,697.39"
AMIORG,Ami Organics Limited,"4,03,362.71"
ORIENTCEM,Orient Cement Limited,"4,01,133.03"
SHILPAMED,Shilpa Medicare Limited,"3,99,766.14"
AARTIDRUGS,Aarti Drugs Limited,"3,99,273.71"
LGBBROSLTD,LG Balakrishnan & Bros Limited,"3,98,966.21"
AARTIPHARM,Aarti Pharmalabs Limited,"3,94,177.82"
TCIEXP,TCI Express Limited,"3,92,607.88"
WSTCSTPAPR,West Coast Paper Mills Limited,"3,90,415.10"
ADVENZYMES,Advanced Enzyme Technologies Limited,"3,89,650.99"
PRIVISCL,Privi Speciality Chemicals Limited,"3,87,170.01"
GREENPANEL,Greenpanel Industries Limited,"3,85,969.73"
VENUSPIPES,Venus Pipes & Tubes Limited,"3,84,103.88"
BBOX,Black Box Limited,"3,78,225.60"
IIFLSEC,IIFL Securities Limited,"3,78,014.53"
PILANIINVS,Pilani Investment and Industries Corporation Limited,"3,77,071.01"
ROSSARI,Rossari Biotech Limited,"3,73,987.57"
KSL,Kalyani Steels Limited,"3,73,779.33"
DCBBANK,DCB Bank Limited,"3,73,380.50"
IMAGICAA,Imagicaaworld Entertainment Limited,"3,72,267.78"
BAJAJHIND,Bajaj Hindusthan Sugar Limited,"3,71,073.06"
DCAL,Dishman Carbogen Amcis Limited,"3,69,302.58"
HARSHA,Harsha Engineers International Limited,"3,65,177.91"
BBL,Bharat Bijlee Limited,"3,62,612.57"
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,"3,60,828.53"
ORISSAMINE,The Orissa Minerals Development Company Limited,"3,54,789.00"
THANGAMAYL,Thangamayil Jewellery Limited,"3,53,361.55"
ZAGGLE,Zaggle Prepaid Ocean Services Limited,"3,52,504.61"
BHARATRAS,Bharat Rasayan Limited,"3,52,381.27"
KOLTEPATIL,Kolte - Patil Developers Limited,"3,52,014.42"
KSCL,Kaveri Seed Company Limited,"3,48,588.72"
MEDIASSIST,Medi Assist Healthcare Services Limited,"3,48,186.61"
INOXGREEN,Inox Green Energy Services Limited,"3,48,069.91"
HATHWAY,Hathway Cable & Datacom Limited,"3,46,940.48"
SSWL,Steel Strips Wheels Limited,"3,46,656.88"
UNICHEMLAB,Unichem Laboratories Limited,"3,46,431.49"
CIGNITITEC,Cigniti Technologies Limited,"3,45,578.11"
IMFA,Indian Metals & Ferro Alloys Limited,"3,45,090.46"
ASHAPURMIN,Ashapura Minechem Limited,"3,43,941.99"
HGS,Hinduja Global Solutions Limited,"3,43,598.83"
MUTHOOTMF,Muthoot Microfin Limited,"3,40,558.12"
SUBROS,Subros Limited,"3,36,322.91"
RAMKY,Ramky Infrastructure Limited,"3,36,162.87"
SUNFLAG,Sunflag Iron And Steel Company Limited,"3,35,478.50"
CARERATING,CARE Ratings Limited,"3,34,083.96"
GENSOL,Gensol Engineering Limited,"3,33,754.90"
SKIPPER,Skipper Limited,"3,32,035.47"
LAOPALA,La Opala RG Limited,"3,30,613.50"
LUMAXTECH,Lumax Auto Technologies Limited,"3,29,338.03"
DCXINDIA,DCX Systems Limited,"3,27,698.87"
BOMDYEING,Bombay Dyeing & Mfg Company Limited,"3,26,841.48"
HIKAL,Hikal Limited,"3,26,808.64"
JISLJALEQS,Jain Irrigation Systems Limited,"3,26,391.64"
CUPID,Cupid Limited,"3,25,132.18"
AVALON,Avalon Technologies Limited,"3,24,318.75"
LUXIND,Lux Industries Limited,"3,23,075.10"
NUCLEUS,Nucleus Software Exports Limited,"3,17,237.12"
TASTYBITE,Tasty Bite Eatables Limited,"3,17,232.01"
SOTL,Savita Oil Technologies Limited,"3,17,032.70"
ARVSMART,Arvind SmartSpaces Limited,"3,16,186.99"
SANDHAR,Sandhar Technologies Limited,"3,16,031.31"
SALASAR,Salasar Techno Engineering Limited,"3,15,705.28"
NEOGEN,Neogen Chemicals Limited,"3,15,577.58"
DATAMATICS,Datamatics Global Services Limited,"3,14,373.47"
JTLIND,JTL INDUSTRIES LIMITED,"3,13,565.89"
ANUP,The Anup Engineering Limited,"3,13,554.00"
HERITGFOOD,Heritage Foods Limited,"3,13,511.29"
THYROCARE,Thyrocare Technologies Limited,"3,12,394.31"
VADILALIND,Vadilal Industries Limited,"3,12,206.99"
NAVNETEDUL,Navneet Education Limited,"3,11,608.66"
DISHTV,Dish TV India Limited,"3,08,410.39"
KDDL,KDDL Limited,"3,07,441.45"
KALAMANDIR,Sai Silks (Kalamandir) Limited,"3,07,345.69"
LANDMARK,Landmark Cars Limited,"3,03,092.69"
INDOCO,Indoco Remedies Limited,"3,02,852.14"
BAJAJCON,Bajaj Consumer Care Limited,"3,02,472.47"
TVSSRICHAK,TVS Srichakra Limited,"2,99,222.20"
CARTRADE,Cartrade Tech Limited,"2,99,167.72"
SBCL,Shivalik Bimetal Controls Limited,"2,99,167.41"
FIEMIND,Fiem Industries Limited,"2,98,135.95"
PRAKASH,Prakash Industries Limited,"2,97,723.56"
DELTACORP,Delta Corp Limited,"2,96,288.72"
RAJRATAN,Rajratan Global Wire Limited,"2,94,928.74"
IDEAFORGE,Ideaforge Technology Limited,"2,94,900.92"
MAHLOG,Mahindra Logistics Limited,"2,94,519.80"
PFOCUS,Prime Focus Limited,"2,94,451.37"
GREAVESCOT,Greaves Cotton Limited,"2,93,711.96"
DOLLAR,Dollar Industries Limited,"2,91,974.59"
UFLEX,UFLEX Limited,"2,91,878.83"
UNITECH,Unitech Limited,"2,91,717.57"
BFUTILITIE,BF Utilities Limited,"2,90,794.09"
SHARDACROP,Sharda Cropchem Limited,"2,89,743.12"
BANARISUG,Bannari Amman Sugars Limited,"2,88,751.67"
SEQUENT,Sequent Scientific Limited,"2,88,095.69"
GREENPLY,Greenply Industries Limited,"2,85,991.27"
MAITHANALL,Maithan Alloys Limited,"2,85,409.64"
SHK,S H Kelkar and Company Limited,"2,84,454.75"
SUNCLAY,Sundaram Clayton Limited,"2,84,008.16"
GUFICBIO,Gufic Biosciences Limited,"2,83,283.95"
BLSE,BLS E-Services Limited,"2,81,655.10"
DIACABS,Diamond Power Infrastructure Limited,"2,80,533.04"
ESAFSFB,ESAF Small Finance Bank Limited,"2,80,297.63"
VSTTILLERS,V.S.T Tillers Tractors Limited,"2,79,907.75"
HLEGLAS,HLE Glascoat Limited,"2,78,727.95"
BCG,Brightcom Group Limited,"2,78,473.22"
GOODLUCK,Goodluck India Limited,"2,77,958.16"
SWARAJENG,Swaraj Engines Limited,"2,77,333.98"
SEAMECLTD,Seamec Limited,"2,76,776.55"
SMLISUZU,SML Isuzu Limited,"2,76,155.18"
ASHIANA,Ashiana Housing Limited,"2,75,387.85"
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,"2,75,315.04"
HINDWAREAP,Hindware Home Innovation Limited,"2,72,340.52"
SAGCEM,Sagar Cements Limited,"2,72,263.82"
SAKSOFT,Saksoft Limited,"2,71,517.98"
APOLLO,Apollo Micro Systems Limited,"2,69,087.99"
SUPRIYA,Supriya Lifescience Limited,"2,67,967.48"
AUTOAXLES,Automotive Axles Limited,"2,65,585.40"
STYLAMIND,Stylam Industries Limited,"2,64,745.65"
FLAIR,Flair Writing Industries Limited,"2,64,384.31"
VINDHYATEL,Vindhya Telelinks Limited,"2,63,711.33"
CARYSIL,CARYSIL LIMITED,"2,63,319.02"
THEJO,Thejo Engineering Limited,"2,63,234.94"
MPSLTD,MPS Limited,"2,62,283.48"
MARATHON,Marathon Nextgen Realty Limited,"2,62,252.90"
ISMTLTD,ISMT Limited,"2,60,684.95"
FILATEX,Filatex India Limited,"2,59,877.40"
NRBBEARING,NRB Bearing Limited,"2,59,801.03"
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,"2,59,428.22"
MOLDTKPAC,Mold-Tek Packaging Limited,"2,59,202.12"
DREAMFOLKS,Dreamfolks Services Limited,"2,58,952.04"
GMRP&UI,GMR Power and Urban Infra Limited,"2,58,640.26"
SHALBY,Shalby Limited,"2,58,251.36"
INNOVACAP,Innova Captab Limited,"2,57,254.67"
PFS,PTC India Financial Services Limited,"2,56,913.33"
AJMERA,Ajmera Realty & Infra India Limited,"2,56,484.68"
HMAAGRO,HMA Agro Industries Limited,"2,55,642.97"
NILKAMAL,Nilkamal Limited,"2,54,540.97"
RPGLIFE,RPG Life Sciences Limited,"2,52,790.57"
TATVA,Tatva Chintan Pharma Chem Limited,"2,52,306.71"
STYRENIX,Styrenix Performance Materials Limited,"2,51,659.09"
QUICKHEAL,Quick Heal Technologies Limited,"2,51,153.61"
ACCELYA,Accelya Solutions India Limited,"2,50,798.50"
REPCOHOME,Repco Home Finance Limited,"2,50,683.38"
PCJEWELLER,PC Jeweller Limited,"2,50,387.30"
APOLLOPIPE,Apollo Pipes Limited,"2,50,247.04"
GANECOS,Ganesha Ecosphere Limited,"2,49,667.79"
PARAGMILK,Parag Milk Foods Limited,"2,48,182.37"
BAJEL,Bajel Projects Limited,"2,48,090.63"
PSPPROJECT,PSP Projects Limited,"2,47,644.00"
GIPCL,Gujarat Industries Power Company Limited,"2,46,615.06"
XPROINDIA,Xpro India Limited,"2,46,203.92"
PITTIENG,Pitti Engineering Limited,"2,45,247.11"
SHAKTIPUMP,Shakti Pumps (India) Limited,"2,45,117.76"
TIDEWATER,Tide Water Oil Company (India) Limited,"2,43,500.40"
SHAILY,Shaily Engineering Plastics Limited,"2,43,074.87"
EVEREADY,Eveready Industries India Limited,"2,42,920.82"
CONFIPET,Confidence Petroleum India Limited,"2,41,161.66"
POLYPLEX,Polyplex Corporation Limited,"2,40,372.08"
TAJGVK,Taj GVK Hotels & Resorts Limited,"2,40,052.67"
TIRUMALCHM,Thirumalai Chemicals Limited,"2,39,537.01"
SPECTRUM,Spectrum Electrical Industries Limited,"2,39,264.63"
PARAS,Paras Defence and Space Technologies Limited,"2,38,602.37"
EXICOM,Exicom Tele-Systems Limited,"2,38,447.15"
PGIL,Pearl Global Industries Limited,"2,38,344.42"
MANORAMA,Manorama Industries Limited,"2,37,412.82"
SOMANYCERA,Somany Ceramics Limited,"2,36,734.40"
KINGFA,Kingfa Science & Technology (India) Limited,"2,36,711.07"
FINOPB,Fino Payments Bank Limited,"2,36,578.26"
UNIPARTS,Uniparts India Limited,"2,36,455.76"
INDOSTAR,IndoStar Capital Finance Limited,"2,36,053.66"
DIVGIITTS,Divgi Torqtransfer Systems Limited,"2,35,457.95"
HINDOILEXP,Hindustan Oil Exploration Company Limited,"2,35,086.97"
SEPC,SEPC Limited,"2,34,685.79"
INDIAGLYCO,India Glycols Limited,"2,34,394.04"
IPL,India Pesticides Limited,"2,34,012.25"
GENESYS,Genesys International Corporation Limited,"2,33,863.08"
SANGHIIND,Sanghi Industries Limited,"2,33,397.54"
BSHSL,Bombay Super Hybrid Seeds Limited,"2,33,380.51"
SATIN,Satin Creditcare Network Limited,"2,32,154.73"
AXISCADES,AXISCADES Technologies Limited,"2,31,107.41"
ARTEMISMED,Artemis Medicare Services Limited,"2,30,759.06"
SASKEN,Sasken Technologies Limited,"2,30,632.19"
EIHAHOTELS,EIH Associated Hotels Limited,"2,30,506.77"
DHANI,Dhani Services Limited,"2,29,530.29"
PRECWIRE,Precision Wires India Limited,"2,29,039.52"
VIDHIING,Vidhi Specialty Food Ingredients Limited,"2,28,448.43"
APCOTEXIND,Apcotex Industries Limited,"2,27,158.69"
HUHTAMAKI,Huhtamaki India Limited,"2,25,923.87"
LUMAXIND,Lumax Industries Limited,"2,25,439.25"
GOCLCORP,GOCL Corporation Limited,"2,25,356.54"
WENDT,Wendt (India) Limited,"2,24,676.00"
DEN,Den Networks Limited,"2,24,533.82"
YATRA,Yatra Online Limited,"2,24,468.61"
HONDAPOWER,Honda India Power Products Limited,"2,24,450.95"
KCP,KCP Limited,"2,24,064.98"
EMSLIMITED,EMS Limited,"2,23,455.97"
JAGRAN,Jagran Prakashan Limited,"2,23,422.11"
SANGAMIND,Sangam (India) Limited,"2,22,542.01"
BEPL,Bhansali Engineering Polymers Limited,"2,22,355.03"
CAPACITE,Capacit'e Infraprojects Limited,"2,21,535.69"
NPST,Network People Services Technologies Limited,"2,20,738.69"
SUVEN,Suven Life Sciences Limited,"2,18,073.72"
MANINDS,Man Industries (India) Limited,"2,18,023.83"
DIAMONDYD,Prataap Snacks Limited,"2,17,761.45"
CENTUM,Centum Electronics Limited,"2,17,009.01"
VENKEYS,Venky's (India) Limited,"2,16,839.30"
IKIO,IKIO Lighting Limited,"2,16,617.80"
TCNSBRANDS,TCNS Clothing Co. Limited,"2,16,426.73"
OPTIEMUS,Optiemus Infracom Limited,"2,15,887.91"
MOREPENLAB,Morepen Laboratories Limited,"2,14,946.44"
MUKANDLTD,Mukand Limited,"2,14,937.15"
UDS,Updater Services Limited,"2,14,469.09"
ALEMBICLTD,Alembic Limited,"2,14,284.44"
RAMASTEEL,Rama Steel Tubes Limited,"2,13,129.72"
IOLCP,IOL Chemicals and Pharmaceuticals Limited,"2,12,191.04"
MBAPL,Madhya Bharat Agro Products Limited,"2,11,399.99"
MMFL,MM Forgings Limited,"2,11,135.44"
VAKRANGEE,Vakrangee Limited,"2,10,313.39"
TARSONS,Tarsons Products Limited,"2,09,419.92"
ASTEC,Astec LifeSciences Limited,"2,09,318.47"
