Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
HAL,Hindustan Aeronautics Limited,"2,22,50,144.25"
DLF,DLF Limited,"2,22,03,575.87"
ADANIPOWER,Adani Power Limited,"2,05,88,340.07"
JSWSTEEL,JSW Steel Limited,"2,03,02,158.83"
TATASTEEL,Tata Steel Limited,"1,94,55,577.10"
SIEMENS,Siemens Limited,"1,91,38,080.56"
IRFC,Indian Railway Finance Corporation Limited,"1,86,03,018.29"
VBL,Varun Beverages Limited,"1,81,73,275.02"
ZOMATO,Zomato Limited,"1,60,60,826.20"
PIDILITIND,Pidilite Industries Limited,"1,53,33,045.77"
GRASIM,Grasim Industries Limited,"1,50,61,395.34"
SBILIFE,SBI Life Insurance Company Limited,"1,50,23,154.75"
BEL,Bharat Electronics Limited,"1,47,29,204.34"
LTIM,LTIMindtree Limited,"1,46,25,731.81"
TRENT,Trent Limited,"1,40,34,644.96"
PNB,Punjab National Bank,"1,36,97,703.35"
INDIGO,InterGlobe Aviation Limited,"1,36,97,032.75"
BANKBARODA,Bank of Baroda,"1,36,54,981.83"
HDFCLIFE,HDFC Life Insurance Company Limited,"1,36,22,484.91"
ABB,ABB India Limited,"1,34,79,173.87"
BPCL,Bharat Petroleum Corporation Limited,"1,30,67,578.53"
PFC,Power Finance Corporation Limited,"1,28,78,647.12"
GODREJCP,Godrej Consumer Products Limited,"1,28,03,664.88"
TATAPOWER,Tata Power Company Limited,"1,25,96,028.49"
HINDALCO,Hindalco Industries Limited,"1,25,90,030.57"
HINDZINC,Hindustan Zinc Limited,"1,23,50,607.44"
TECHM,Tech Mahindra Limited,"1,21,88,534.15"
AMBUJACEM,Ambuja Cements Limited,"1,21,59,098.56"
INDUSINDBK,IndusInd Bank Limited,"1,20,86,763.08"
CIPLA,Cipla Limited,"1,20,85,856.42"
GAIL,GAIL (India) Limited,"1,19,04,217.91"
RECLTD,REC Limited,"1,18,75,840.24"
BRITANNIA,Britannia Industries Limited,"1,18,29,644.19"
UNIONBANK,Union Bank of India,"1,17,17,584.61"
ADANIENSOL,Adani Energy Solutions Limited,"1,14,52,763.38"
IOB,Indian Overseas Bank,"1,13,31,996.15"
LODHA,Macrotech Developers Limited,"1,12,95,121.67"
EICHERMOT,Eicher Motors Limited,"1,10,05,069.69"
CANBK,Canara Bank,"1,05,41,003.83"
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"1,04,44,975.25"
DRREDDY,Dr. Reddy's Laboratories Limited,"1,02,72,502.00"
TVSMOTOR,TVS Motor Company Limited,"1,02,23,162.06"
ZYDUSLIFE,Zydus Lifesciences Limited,"1,01,96,438.39"
ATGL,Adani Total Gas Limited,"1,01,90,290.32"
VEDL,Vedanta Limited,"1,00,97,790.75"
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,"97,14,079.69"
HAVELLS,Havells India Limited,"94,94,247.90"
HEROMOTOCO,Hero MotoCorp Limited,"94,40,904.38"
DABUR,Dabur India Limited,"92,70,422.88"
SHREECEM,SHREE CEMENT LIMITED,"92,66,564.39"
MANKIND,Mankind Pharma Limited,"92,16,538.53"
BAJAJHLDNG,Bajaj Holdings & Investment Limited,"92,07,033.85"
DIVISLAB,Divi's Laboratories Limited,"91,46,188.99"
APOLLOHOSP,Apollo Hospitals Enterprise Limited,"91,40,103.08"
NHPC,NHPC Limited,"90,10,396.22"
SHRIRAMFIN,Shriram Finance Limited,"88,67,958.73"
BOSCHLTD,Bosch Limited,"88,57,323.51"
TORNTPHARM,Torrent Pharmaceuticals Limited,"88,01,612.11"
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,"87,67,317.92"
IDBI,IDBI Bank Limited,"87,09,445.76"
JSWENERGY,JSW Energy Limited,"86,98,689.61"
JINDALSTEL,Jindal Steel & Power Limited,"86,62,078.08"
BHEL,Bharat Heavy Electricals Limited,"86,11,142.68"
INDHOTEL,The Indian Hotels Company Limited,"84,14,619.61"
CUMMINSIND,Cummins India Limited,"83,33,325.00"
ICICIGI,ICICI Lombard General Insurance Company Limited,"82,98,324.54"
CGPOWER,CG Power and Industrial Solutions Limited,"82,61,345.35"
MCDOWELL-N,United Spirits Limited,"82,49,977.05"
HDFCAMC,HDFC Asset Management Company Limited,"80,14,402.84"
MAXHEALTH,Max Healthcare Institute Limited,"79,68,709.83"
SOLARINDS,Solar Industries India Limited,"79,46,610.40"
MOTHERSON,Samvardhana Motherson International Limited,"79,35,189.42"
INDUSTOWER,Indus Towers Limited,"78,46,308.93"
POLYCAB,Polycab India Limited,"76,08,988.43"
OFSS,Oracle Financial Services Software Limited,"76,03,997.17"
SRF,SRF Limited,"75,89,216.58"
IRCTC,Indian Railway Catering And Tourism Corporation Limited,"74,37,600.00"
COLPAL,Colgate Palmolive (India) Limited,"73,71,762.63"
LUPIN,Lupin Limited,"73,66,575.19"
NAUKRI,Info Edge (India) Limited,"72,35,159.99"
TIINDIA,Tube Investments of India Limited,"72,26,559.59"
INDIANB,Indian Bank,"70,13,641.45"
HINDPETRO,Hindustan Petroleum Corporation Limited,"67,47,325.20"
BERGEPAINT,Berger Paints (I) Limited,"66,80,443.40"
YESBANK,Yes Bank Limited,"66,73,733.76"
TORNTPOWER,Torrent Power Limited,"65,26,535.62"
OIL,Oil India Limited,"65,09,142.18"
SBICARD,SBI Cards and Payment Services Limited,"64,90,372.86"
IDEA,Vodafone Idea Limited,"64,50,076.20"
MARICO,Marico Limited,"64,34,161.72"
GODREJPROP,Godrej Properties Limited,"63,95,231.94"
AUROPHARMA,Aurobindo Pharma Limited,"63,79,406.61"
UCOBANK,UCO Bank,"62,41,010.17"
BANKINDIA,Bank of India,"62,39,431.31"
PERSISTENT,Persistent Systems Limited,"61,38,199.28"
MUTHOOTFIN,Muthoot Finance Limited,"59,43,399.41"
NMDC,NMDC Limited,"59,12,497.30"
ALKEM,Alkem Laboratories Limited,"59,08,902.30"
PIIND,PI Industries Limited,"58,67,774.07"
LTTS,L&T Technology Services Limited,"57,97,937.57"
GICRE,General Insurance Corporation of India,"57,85,134.00"
TATACOMM,Tata Communications Limited,"57,29,640.00"
JSL,Jindal Stainless Limited,"57,18,341.50"
MRF,MRF Limited,"56,57,148.26"
SAIL,Steel Authority of India Limited,"55,45,230.20"
PGHH,Procter & Gamble Hygiene and Health Care Limited,"54,95,099.46"
SUZLON,Suzlon Energy Limited,"54,95,023.13"
LINDEINDIA,Linde India Limited,"54,65,737.93"
SUPREMEIND,Supreme Industries Limited,"53,76,031.19"
CONCOR,Container Corporation of India Limited,"53,74,585.44"
OBEROIRLTY,Oberoi Realty Limited,"53,66,223.61"
ASTRAL,Astral Limited,"53,49,035.32"
IDFCFIRSTB,IDFC First Bank Limited,"53,30,722.59"
RVNL,Rail Vikas Nigam Limited,"52,73,015.83"
BHARATFORG,Bharat Forge Limited,"52,59,289.19"
CENTRALBK,Central Bank of India,"51,91,201.78"
JSWINFRA,JSW Infrastructure Limited,"51,52,353.84"
POLICYBZR,PB Fintech Limited,"50,72,654.94"
ASHOKLEY,Ashok Leyland Limited,"50,28,460.46"
THERMAX,Thermax Limited,"49,95,449.14"
PHOENIXLTD,The Phoenix Mills Limited,"49,72,549.76"
GMRINFRA,GMR Airports Infrastructure Limited,"49,25,331.34"
TATAELXSI,Tata Elxsi Limited,"48,48,314.27"
PATANJALI,Patanjali Foods Limited,"48,44,939.11"
SJVN,SJVN Limited,"47,70,771.34"
PRESTIGE,Prestige Estates Projects Limited,"46,90,081.35"
ACC,ACC Limited,"46,79,095.23"
NYKAA,FSN E-Commerce Ventures Limited,"46,23,971.11"
SUNDARMFIN,Sundaram Finance Limited,"45,98,255.45"
UBL,United Breweries Limited,"45,89,941.18"
ABCAPITAL,Aditya Birla Capital Limited,"45,60,332.91"
MPHASIS,MphasiS Limited,"45,11,861.86"
BALKRISIND,Balkrishna Industries Limited,"44,79,835.90"
DIXON,Dixon Technologies (India) Limited,"44,74,206.64"
MAHABANK,Bank of Maharashtra,"44,15,236.46"
KALYANKJIL,Kalyan Jewellers India Limited,"44,06,566.98"
SCHAEFFLER,Schaeffler India Limited,"43,94,243.23"
AWL,Adani Wilmar Limited,"41,77,167.04"
APLAPOLLO,APL Apollo Tubes Limited,"41,51,628.72"
TATATECH,Tata Technologies Limited,"41,40,253.02"
SONACOMS,Sona BLW Precision Forgings Limited,"41,39,985.96"
KPITTECH,KPIT Technologies Limited,"40,74,873.56"
FACT,Fertilizers and Chemicals Travancore Limited,"40,63,288.46"
PSB,Punjab & Sind Bank,"40,49,727.40"
PETRONET,Petronet LNG Limited,"39,48,000.23"
L&TFH,L&T Finance Holdings Limited,"39,38,748.04"
UNOMINDA,UNO Minda Limited,"39,31,359.59"
PAGEIND,Page Industries Limited,"38,42,615.55"
MRPL,Mangalore Refinery and Petrochemicals Limited,"38,30,304.63"
AUBANK,AU Small Finance Bank Limited,"37,80,652.30"
MAZDOCK,Mazagon Dock Shipbuilders Limited,"37,59,703.29"
HUDCO,Housing & Urban Development Corporation Limited,"37,48,557.75"
GUJGASLTD,Gujarat Gas Limited,"37,46,563.26"
NIACL,The New India Assurance Company Limited,"37,42,608.00"
CRISIL,CRISIL Limited,"37,05,605.95"
AIAENG,AIA Engineering Limited,"36,92,878.29"
FEDERALBNK,The Federal Bank  Limited,"36,58,946.70"
IREDA,Indian Renewable Energy Development Agency Limited,"36,52,672.24"
VOLTAS,Voltas Limited,"36,51,478.55"
DALBHARAT,Dalmia Bharat Limited,"36,42,456.28"
POONAWALLA,Poonawalla Fincorp Limited,"36,04,840.75"
MEDANTA,Global Health Limited,"35,46,856.82"
IRB,IRB Infrastructure Developers Limited,"35,35,834.50"
3MINDIA,3M India Limited,"35,13,952.71"
MFSL,Max Financial Services Limited,"34,58,740.23"
M&MFIN,Mahindra & Mahindra Financial Services Limited,"34,44,657.42"
UPL,UPL Limited,"34,22,770.84"
HONAUT,Honeywell Automation India Limited,"34,20,542.11"
BSE,BSE Limited,"34,05,933.82"
FLUOROCHEM,Gujarat Fluorochemicals Limited,"34,02,438.98"
COFORGE,Coforge Limited,"34,01,423.16"
LICHSGFIN,LIC Housing Finance Limited,"33,60,609.90"
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,"32,97,657.86"
DELHIVERY,Delhivery Limited,"32,82,746.70"
BDL,Bharat Dynamics Limited,"32,10,904.22"
STARHEALTH,Star Health and Allied Insurance Company Limited,"31,80,722.53"
FORTIS,Fortis Healthcare Limited,"31,72,334.14"
BIOCON,Biocon Limited,"31,71,384.90"
COROMANDEL,Coromandel International Limited,"31,65,409.14"
NLCINDIA,NLC India Limited,"31,62,918.11"
TATAINVEST,Tata Investment Corporation Limited,"31,59,144.98"
JKCEMENT,JK Cement Limited,"31,49,569.81"
IPCALAB,IPCA Laboratories Limited,"31,39,335.99"
METROBRAND,Metro Brands Limited,"31,37,623.56"
KEI,KEI Industries Limited,"31,22,173.27"
ESCORTS,Escorts Kubota Limited,"30,68,868.20"
LLOYDSME,Lloyds Metals And Energy Limited,"30,41,626.28"
GLAND,Gland Pharma Limited,"30,39,276.64"
IGL,Indraprastha Gas Limited,"30,15,603.45"
NAM-INDIA,Nippon Life India Asset Management Limited,"29,68,239.02"
APOLLOTYRE,Apollo Tyres Limited,"29,62,428.36"
JUBLFOOD,Jubilant Foodworks Limited,"29,61,715.18"
POWERINDIA,Hitachi Energy India Limited,"29,54,723.24"
MSUMI,Motherson Sumi Wiring India Limited,"29,22,352.34"
BANDHANBNK,Bandhan Bank Limited,"28,99,652.69"
DEEPAKNTR,Deepak Nitrite Limited,"28,99,034.09"
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,"28,79,459.44"
AJANTPHARM,Ajanta Pharma Limited,"28,58,280.02"
KPRMILL,K.P.R. Mill Limited,"28,45,430.64"
SYNGENE,Syngene International Limited,"28,24,356.38"
EIHOTEL,EIH Limited,"28,11,012.00"
APARINDS,Apar Industries Limited,"28,03,306.54"
NATIONALUM,National Aluminium Company Limited,"28,01,781.79"
TATACHEM,Tata Chemicals Limited,"27,53,660.61"
